CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
14472,0.11432,4,0.115302,10.5763,0.0992806,9.84892,0.173313,0.0115729,0.0086943,1.17703,0.0471067,14472.0,34.0583700215199,336.222128944165,3.77125319162084,3.70745,0.0,1500600001.0,150060.0,,,,,
14480,0.20018,4,0.201238,10.3639,0.110768,9.77697,0.200401,0.0162443,0.00954601,1.00026,0.0528753,14480.0,58.8925022605588,576.352903730798,7.6321368868055,1.61244,0.0,1502210001.0,150221.0,,,,,
14485,0.18342,5,0.184461,10.8563,0.105653,9.80181,0.187472,0.00796367,0.00680587,0.965727,0.0450158,14485.0,53.0316734593942,530.303284319571,6.76802337498535,3.58006,0.0,1501860001.0,150186.0,,,,,
14486,0.19952,4,0.200574,10.7926,0.106621,9.75812,0.204969,0.0112861,0.0071874,0.866201,0.0398093,14486.0,57.1163380466842,574.691760832404,7.77300096231634,1.87586,302971.0,1502210001.0,150221.0,,,,,
14487,0.20088,4,0.201935,10.0827,0.107895,9.49168,0.241306,0.0124048,0.00728016,0.464492,0.0413914,14487.0,57.4192697354893,578.430318131871,7.86833009550191,1.87705,302971.0,1502210001.0,150221.0,,,,,
14505,0.10576,4,0.106731,10.3582,0.108069,9.82304,0.193559,0.0114829,0.00867549,1.12937,0.0465011,14505.0,30.6376992443999,311.849567529863,4.56354987886779,4.0091,0.0,1501370001.0,150137.0,,,,,
14506,0.16509,4,0.166113,10.6808,0.0975796,9.83731,0.161593,0.0120543,0.00765199,1.15443,0.0505676,14506.0,47.004538734168,479.490715943688,6.1296315290099,0.520299,302973.0,1501490001.0,150149.0,,,,,
14517,0.1135,5,0.114478,10.6002,0.109343,9.79827,0.202792,0.00993482,0.0070403,0.853675,0.0405631,14517.0,32.8204778718491,333.976765325981,3.69566175690329,2.00681,0.0,1500600001.0,150060.0,,,,,
14518,0.17236,4,0.17339,9.68806,0.115392,9.47707,0.25602,0.0118122,0.00742058,0.455853,0.0458373,14518.0,49.0612388386984,499.731337627839,5.96731330333382,3.13158,302974.0,1502000001.0,150200.0,,,,,
14520,0.16546,4,0.166483,10.3533,0.115491,9.73191,0.225909,0.00949412,0.00674524,0.751677,0.0422821,14520.0,47.1238217157369,480.521449634752,6.1040555959418,0.518506,302973.0,1501490001.0,150149.0,,,,,
14538,0.19989,4,0.200942,10.7813,0.0995136,9.81714,0.172173,0.0151718,0.0104147,1.24467,0.0552544,14538.0,55.8783832080298,575.834773269561,7.62820097736218,1.6058,0.0,1502210001.0,150221.0,,,,,
14567,0.11393,5,0.114904,11.0703,0.105614,9.83189,0.177195,0.0123209,0.00838874,1.14164,0.0464534,14567.0,31.3325446151982,335.342012714044,3.87702448419408,1.36464,0.0,1500600001.0,150060.0,,,,,
14577,0.16533,4,0.166349,10.3589,0.106006,9.80986,0.183475,0.0154682,0.00934676,1.05701,0.0503679,14577.0,44.890192132255,480.358934032799,5.92381378666356,2.21827,0.0,1501490001.0,150149.0,,,,,
14598,0.11457,5,0.115544,10.7348,0.100625,9.85326,0.168294,0.00943821,0.00764112,1.10274,0.0465254,14598.0,31.4201450025066,337.16350637749,4.68764928535552,2.84245,301446.0,1500600001.0,150060.0,,,,,
14599,0.17764,4,0.178669,10.2538,0.112318,9.65344,0.229062,0.00850025,0.0062628,0.548813,0.0412524,14599.0,47.9659905043096,514.605582947213,7.16282759086288,2.4815,0.0,1500080043.0,150008.0,,,,,
14601,0.11337,5,0.114342,10.9657,0.103366,9.84161,0.172124,0.0120453,0.00820095,1.15312,0.0475677,14601.0,30.9583441115704,333.75024813483,4.75106454517541,0.603527,301446.0,1500600001.0,150060.0,,,,,
